,Weekly change (revenue),Title,Weekly change (no. of screens),Days since premiere,Holidays
65,-0.4337771427955447,Nos Limites da Lei,-6.0,14,2
555,-0.4336250879986281,Amor Acima de Tudo,-8.0,28,2
111,-0.43357224184322485,Manchester by the Sea,-5.0,35,2
838,-0.4333242482448364,Elis,-5.0,21,2
717,-0.43299512228283965,Wind River,-2.0,21,2
726,-0.43230896516915984,Annabelle 2: A Criação do Mal,-7.0,35,2
105,-0.4317173789986193,Resident Evil: Capítulo Final,4.0,14,2
307,-0.4314209032185,Juntos Para Sempre,1.0,14,3
221,-0.43138767787936727,Kong: A Ilha da Caveira,2.0,14,2
447,-0.4311578046773322,The Boss Baby,-5.0,56,2
985,-0.42988724454164307,Liga da Justiça,-11.0,28,3
890,-0.42834064607398403,Blade Runner 2049,-38.0,35,2
513,-0.4279794984584575,The Hunter's Prayer - Assassino Contratado,-2.0,14,2
289,-0.4279299371086258,Patrulha de Doidos,-8.0,21,2
462,-0.4278503283276818,Mulher-Maravilha,-26.0,14,2
529,-0.4270141833308486,All Eyez on Me,-2.0,14,2
102,-0.4261882887363613,Silêncio,-1.0,21,2
527,-0.4252897923991241,Girls Night,-20.0,21,2
321,-0.42521176216112433,The Boss Baby,-1.0,14,3
302,-0.4232532817381456,A Bela e o Monstro,-31.0,35,3
461,-0.4228247679314304,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,-16.0,21,2
347,-0.4218338396368574,A Bela e o Monstro,-25.0,49,3
930,-0.42131222568035154,Vive,-3.0,14,2
94,-0.4212068332868314,O Nome do Medo,-3.0,21,2
38,-0.4211338714345435,Lion - A Longa Estrada Para Casa,-6.0,35,2
945,-0.420155708313697,Thor: Ragnarok ,-4.0,35,2
589,-0.4195362847000955,Capitão Cuecas - O Filme,-9.0,56,2
135,-0.4182806427839004,Manchester by the Sea,-12.0,42,3
778,-0.4178267865394486,6 Dias,-2.0,14,2
448,-0.41647852772219984,Amarelinho,24.0,21,2
405,-0.41505834422018417,The Boss Baby,-11.0,42,2
858,-0.41465508054505085,Bigfoot Junior,-13.0,49,2
696,-0.4144319049028159,Hampstead: Nunca é Tarde Para Amar,-1.0,14,2
82,-0.4141166811202902,xXx: O Regresso de Xander Cage,4.0,14,2
143,-0.41404932795546723,La La Land: Melodia de Amor,-14.0,28,2
294,-0.4121079787556291,São Jorge,-2.0,35,2
368,-0.4120820916447978,Fátima,5.0,14,2
699,-0.41176231507072014,Adeus Índia,-1.0,56,2
452,-0.4114156816605762,O Sentido do Fim,1.0,14,2
595,-0.4102900626858941,Manhattan Nocturne,-4.0,14,2
958,-0.41020077009690104,A Paixão de Van Gogh,-2.0,42,2
656,-0.40942377832802934,Lady Macbeth,-5.0,28,3
70,-0.40879874399086,Porquê Ele?,-9.0,35,2
521,-0.4083458333301311,Transformers: O Último Cavaleiro,-19.0,14,2
851,-0.40824721885343873,Lego Ninjago - O Filme,-11.0,28,2
432,-0.407373537019055,Ladrões Com Muito Estilo,-2.0,56,2
392,-0.4066637649231388,Fátima,-6.0,21,2
914,-0.40510764726229753,A Paixão de Van Gogh,-5.0,28,2
692,-0.40481976429340927,Dunkirk,-14.0,42,2
819,-0.4023646376084552,A Fábrica de Nada,-4.0,21,3
1028,-0.4022128901604597,Wonder - Encantador,-9.0,21,3
308,-0.40200279755109725,The Last Face - A Última Fronteira,-1.0,14,3
875,-0.40076919775553743,Lego Ninjago - O Filme,-5.0,35,3
967,-0.40001648812290114,Só Para Bravos,-5.0,14,3
624,-0.39995834906828287,Dunkirk,-2.0,21,2
601,-0.39956874748607407,Carros 3,-15.0,14,2
467,-0.39864169935653215,Perdidos,-6.0,28,2
905,-0.39793015369003293,Sete Irmãs,4.0,15,2
260,-0.3963586529208014,A Bela e o Monstro,5.0,21,2
414,-0.3959897795805354,"Amigos Amigos, Telemóveis à Parte",-14.0,21,2
150,-0.39574255656814306,Moonlight,3.0,21,2
271,-0.3954626431794718,Médico de Província,0.0,14,2
518,-0.3946868372142124,A Odisseia,-5.0,21,2
564,-0.3945159775551659,A Múmia,-11.0,42,2
455,-0.39409695357509267,O Círculo,-3.0,42,2
731,-0.39365082639182536,De Braços Abertos,-1.0,42,2
583,-0.39145149530166146,Gru - O Maldisposto 3,-31.0,28,2
845,-0.39134462877585563,Feliz Dia Para Morrer,-4.0,14,2
468,-0.39071920209037025,The Boss Baby,-2.0,63,2
559,-0.3900776166865415,Blackway,-2.0,14,2
1006,-0.3898789825588802,Wonder - Encantador,-9.0,14,2
424,-0.3898413060056196,The Boss Baby,-17.0,49,2
255,-0.38925244950310256,O Fundador,-3.0,14,2
444,-0.3874050859361525,Rei Artur: A Lenda da Espada,-12.0,28,2
434,-0.3867440656659026,Heróis da Nação,2.0,14,2
146,-0.38639822012469127,Elementos Secretos,-1.0,21,2
67,-0.38467540682540713,Passageiros,-13.0,35,2
205,-0.3828546508753432,Rock Dog - Um Sonho Altamente!,-1.0,14,2
292,-0.38275862900768187,Logan,-7.0,42,2
85,-0.3823523318995681,Assassin's Creed,-3.0,28,2
560,-0.3823427695297459,Gru - O Maldisposto 3,-1.0,21,2
463,-0.3813863709475952,Capitão Cuecas - O Filme,-5.0,14,2
480,-0.38129688029446296,A Múmia,-20.0,14,3
789,-0.38065004156838844,Uma Casa Cheia,0.0,14,2
665,-0.38049320346318005,Baywatch: Marés Vivas,-8.0,35,2
352,-0.3793964565941429,Kickboxer: A Vingança,4.0,14,3
21,-0.37758804446587313,Passageiros,0.0,21,2
419,-0.377279637465746,O Jovem Karl Max,0.0,35,2
156,-0.377255039574805,Manchester by the Sea,-7.0,49,2
172,-0.3761935552796366,Jackie,-10.0,21,3
978,-0.37612903621627924,Gauguin,0.0,14,3
798,-0.375042916187986,De Braços Abertos,-2.0,63,2
1020,-0.37370290585163324,Star Wars: Episódio VIII - Os Últimos Jedi,-57.0,14,3
846,-0.37330058414942047,Alguém Como Eu,-4.0,14,2
103,-0.37265366962599056,xXx: O Regresso de Xander Cage,-10.0,21,2
741,-0.37245528495978775,Barry Seal: Traficante Americano,-5.0,21,2
667,-0.37175462394384895,Gru - O Maldisposto 3,-16.0,56,2
661,-0.3710365277379115,Annabelle 2: A Criação do Mal,-5.0,14,2
975,-0.3695400527770081,Sete Irmãs,-3.0,36,3
283,-0.36951633055382294,Ghost in the Shell - Agente do Futuro,3.0,14,2
792,-0.3688891573513351,Emoji: O Filme,-11.0,56,2
71,-0.36458651399491093,O Nome do Medo,0.0,14,2
558,-0.3636773296764362,USS Indianapolis: Homens de Coragem,2.0,14,2
594,-0.3634044541016933,Paterson,-4.0,28,2
383,-0.3627081478121158,Guardiões da Galáxia Vol.2,-12.0,21,2
133,-0.36042290718489545,Aqui Há Gato!,-5.0,21,3
911,-0.3601897124193575,Um Susto de Família,-6.0,35,2
815,-0.3600058190001385,Elis,-3.0,14,3
565,-0.3593485729109448,Overdrive - Os Profissionais,-5.0,21,2
764,-0.35910462959092804,Assassino Americano,-15.0,14,2
1017,-0.3585387614328994,O Quadrado,-3.0,28,2
703,-0.3571714237502416,Annabelle 2: A Criação do Mal,-6.0,28,2
409,-0.35686009322888557,Foge,-8.0,21,2
396,-0.35653487240420434,O Jovem Karl Max,-6.0,28,2
744,-0.35583498960647575,Bigfoot Junior,2.0,14,2
69,-0.35582597616725,Beleza Colateral,-3.0,35,2
720,-0.35465746314188895,Barry Seal: Traficante Americano,0.0,14,2
266,-0.35462115668898697,Patrulha de Doidos,2.0,14,2
446,-0.35434763271582803,Perdidos,-2.0,21,2
999,-0.35049256326057565,Lucky,1.0,14,3
91,-0.3503343493457244,Beleza Colateral,-9.0,42,2
170,-0.34780856902026325,Fragmentado,-6.0,28,3
160,-0.3457641826352954,As Cinquenta Sombras Mais Negras,-5.0,21,3
48,-0.3451727515722033,Porquê Ele?,-9.0,28,2
775,-0.34477183187740146,Dia de Surf 2,-12.0,28,2
87,-0.3433154140440462,Cantar!,-19.0,56,2
979,-0.3424256298518933,A Paixão de Van Gogh,-2.0,49,3
884,-0.3422597591113168,Geostorm - Ameaça Global,-40.0,21,2
92,-0.34212705285165024,Porquê Ele?,-6.0,42,2
404,-0.3418294026339247,Guardiões da Galáxia Vol.2,-11.0,28,2
395,-0.3413068328384933,A Cabana,-8.0,28,2
66,-0.3405320259526451,Manchester by the Sea,-4.0,21,2
126,-0.3387526936691534,Silêncio,-17.0,28,3
946,-0.33608282129726796,Mães à Solta 2,1.0,21,2
864,-0.33504135770666543,O Boneco de Neve,17.0,14,3
942,-0.33416727921317735,Um Crime no Expresso do Oriente,0.0,21,2
410,-0.3321060004501648,O Círculo,-21.0,28,2
621,-0.3316917885883278,Baywatch: Marés Vivas,-12.0,21,2
247,-0.33116058599927223,Collide - A Alta Velocidade,-1.0,14,2
862,-0.329576045817349,Geostorm - Ameaça Global,10.0,14,3
781,-0.32911477652721444,It,-5.0,21,2
635,-0.32855389956827363,Adeus Índia,1.0,35,2
790,-0.32595125218096266,O Guarda-Costas e o Assassino,-9.0,42,2
563,-0.32509588257928035,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,-7.0,56,2
854,-0.32467456257041305,A Febre das Tulipas,-5.0,14,2
660,-0.32429086409342167,Emoji: O Filme,-12.0,14,2
788,-0.3241879459420557,Bigfoot Junior,-9.0,28,2
592,-0.3234755591424039,Adeus Índia,-5.0,21,2
342,-0.3229166054678556,The Boss Baby,-22.0,21,3
752,-0.32279717019762,De Braços Abertos,-7.0,49,2
99,-0.3221528598225978,Vaiana,-8.0,70,2
95,-0.32185790918425083,Rogue One: Uma História de Star Wars,-9.0,49,2
291,-0.3216746022751482,Power Rangers,-29.0,21,2
139,-0.3206829394962347,Vaiana,-4.0,84,3
550,-0.3200610929423845,Paris Pode Esperar,0.0,14,2
42,-0.3190848873796285,Passageiros,-2.0,28,2
603,-0.3182134004258358,Dunkirk,-19.0,14,2
881,-0.3176261540151344,Jigsaw: O Legado de Saw,-16.0,14,2
936,-0.31682131073822306,A Paixão de Van Gogh,-2.0,35,2
132,-0.31565554428004816,Cantar!,0.0,70,3
683,-0.3152662352259148,A Torre Negra,0.0,14,2
612,-0.3148842393987864,Adeus Índia,-4.0,28,2
686,-0.3143169026578976,Baywatch: Marés Vivas,-10.0,42,2
622,-0.3134778225483559,Carros 3,-19.0,21,2
887,-0.3113123334497847,O Estrangeiro,-30.0,28,2
304,-0.3111769256544773,Ladrões Com Muito Estilo,-7.0,14,3
389,-0.31112300087810885,Ladrões Com Muito Estilo,-8.0,42,2
236,-0.31093100030930243,Neruda,-1.0,14,2
633,-0.31041278166718855,Lady Macbeth,0.0,21,2
501,-0.3098811388140382,A Múmia,-2.0,21,2
806,-0.3092321784452762,Barry Seal: Traficante Americano,-15.0,42,3
25,-0.30860261445382786,Porquê Ele?,-5.0,21,2
401,-0.30802462195888236,Rei Artur: A Lenda da Espada,-22.0,14,2
349,-0.30795443816960166,O Jardim da Esperança,2.0,14,3
802,-0.30786337469877945,It,-7.0,28,3
763,-0.30743760615066384,Barry Seal: Traficante Americano,-7.0,28,2
121,-0.3069373731827021,La La Land: Melodia de Amor,-11.0,21,3
449,-0.305408551509344,Bailarina,-2.0,42,2
987,-0.304799003809463,Um Crime no Expresso do Oriente,-16.0,35,3
88,-0.3046998591027146,Nos Limites da Lei,-6.0,21,2
801,-0.30435804588577,Kingsman: O Círculo Dourado,-18.0,21,3
26,-0.30388502988034605,Beleza Colateral,-18.0,21,2
546,-0.303405830415974,Capitão Cuecas - O Filme,-20.0,42,2
1005,-0.30246121232004786,O Fim da Inocência,-2.0,21,2
483,-0.30059456982135435,Mulher-Maravilha,0.0,21,3
402,-0.29943504046457037,Velocidade Furiosa 8,-16.0,42,2
644,-0.29885378233038584,Baywatch: Marés Vivas,-4.0,28,3
223,-0.2987513436252529,São Jorge,0.0,14,2
243,-0.2982067356883791,Logan,-10.0,28,2
768,-0.2976298100482432,Emoji: O Filme,-9.0,49,2
915,-0.29668633224801466,A Festa,1.0,15,2
993,-0.2966765725328495,O Quadrado,0.0,21,3
125,-0.2962562058922159,xXx: O Regresso de Xander Cage,-14.0,28,3
381,-0.2960502491482899,Velocidade Furiosa 8,-33.0,35,2
643,-0.29554697137399566,Baby Driver - Alta Velocidade,9.0,14,3
491,-0.29054755510461305,The Boss Baby,-14.0,70,3
737,-0.2899683228687807,Dunkirk,-3.0,56,2
865,-0.28844909858506973,O Estrangeiro,10.0,21,3
663,-0.28840694820161716,Baby Driver - Alta Velocidade,-12.0,21,2
251,-0.2870873646047909,Moonlight,-15.0,56,2
285,-0.2870730871413628,Kong: A Ilha da Caveira,-10.0,35,2
64,-0.2859152682936069,Cantar!,-13.0,49,2
411,-0.2843875795336661,Ladrões Com Muito Estilo,-14.0,49,2
173,-0.2837545080202698,Mulheres do Século XX,5.0,14,3
386,-0.2812119658504818,O Círculo,5.0,21,2
481,-0.2808675642437727,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,-12.0,28,3
924,-0.2805762195895555,Mães à Solta 2,-2.0,14,2
416,-0.27991910357391736,A Cabana,-3.0,35,2
794,-0.279706984975589,A Fábrica de Nada,2.0,14,2
850,-0.27969507058357146,Vitória & Abdul,-10.0,28,2
843,-0.2789512899694423,O Estrangeiro,1.0,14,2
921,-0.27889550830653553,Um Crime no Expresso do Oriente,-2.0,14,2
309,-0.2781426864899683,Dois é Uma Família,-6.0,14,3
600,-0.2769561624293453,Baywatch: Marés Vivas,4.0,14,2
666,-0.27645763126604894,De Braços Abertos,-6.0,21,2
76,-0.2748081194741817,Homenzinhos,-3.0,14,2
100,-0.2745256301297224,La La Land: Melodia de Amor,11.0,14,2
59,-0.2744050204912669,Aliados,-6.0,49,2
43,-0.27385011847050666,Cantar!,-11.0,42,2
504,-0.27087944719530244,Mulher-Maravilha,-18.0,28,2
355,-0.27002221806931204,"Paula Rego, Histórias & Segredos",0.0,28,3
47,-0.2697359723957137,Beleza Colateral,-14.0,28,2
568,-0.26874725858975435,Adeus Índia,-2.0,14,2
433,-0.2660997676292912,"Amigos Amigos, Telemóveis à Parte",-5.0,28,2
350,-0.2633662410561458,A Cabana,-1.0,14,3
986,-0.2632788046294574,Pai Há Só Um... Ou Dois,5.0,14,3
497,-0.26182589563511105,Bailarina,-6.0,56,3
332,-0.2611070981219824,"Paula Rego, Histórias & Segredos",0.0,21,3
609,-0.25884593352818863,Capitão Cuecas - O Filme,-6.0,63,2
786,-0.2566517445879283,Mãe!,-1.0,14,2
537,-0.25655943636253364,"Amigos Amigos, Telemóveis à Parte",-3.0,63,2
242,-0.2557240211453843,Kong: A Ilha da Caveira,-10.0,21,2
610,-0.25465252469002886,Lady Macbeth,0.0,14,2
968,-0.2534656394264393,O Homem do Coração de Ferro,-2.0,14,3
579,-0.2523934040799336,Amor Acima de Tudo,-2.0,35,2
787,-0.2501832090255657,Assassino Americano,-3.0,21,2
86,-0.24949287429906875,Manchester by the Sea,-6.0,28,2
323,-0.2488516073244823,Ladrões Com Muito Estilo,1.0,21,3
204,-0.24659717558618022,Moonlight,2.0,42,2
690,-0.2437593667221266,Gru - O Maldisposto 3,-11.0,63,2
902,-0.24345132015866056,O Gangue do Parque 2,0.0,15,2
870,-0.24159020341229065,A Paixão de Van Gogh,5.0,14,3
123,-0.24112951124630044,Fragmentado,-8.0,14,3
570,-0.23466992118355112,Paterson,3.0,21,2
119,-0.23400245403654196,Vaiana,0.0,77,2
34,-0.23093917865188018,Na Via Láctea,-1.0,14,2
427,-0.2307873645094135,Bailarina,-2.0,35,2
805,-0.23009316705285565,Vitória & Abdul,-8.0,14,3
174,-0.22909651448676693,Silêncio,-17.0,42,3
54,-0.22555272348335487,Na Via Láctea,0.0,21,2
55,-0.22517164628178266,Zeus,-2.0,14,2
109,-0.2230806992572455,Cantar!,-3.0,63,2
923,-0.2205550127908147,O Gangue do Parque 2,-5.0,22,2
892,-0.21861988279018774,A Paixão de Van Gogh,-6.0,21,2
604,-0.21789128236191946,Gru - O Maldisposto 3,-12.0,35,2
869,-0.21692896682776042,Feliz Dia Para Morrer,9.0,21,3
988,-0.21664342740663411,A Montanha Entre Nós,-3.0,14,3
385,-0.21624606016602443,Foge,1.0,14,2
175,-0.21545762024367632,xXx: O Regresso de Xander Cage,-9.0,42,3
636,-0.2134223935581494,Paterson,-1.0,42,2
454,-0.21335263529250437,"Amigos Amigos, Telemóveis à Parte",-3.0,35,2
129,-0.213058172883689,Moonlight,1.0,14,3
124,-0.2123285619795624,Elementos Secretos,-4.0,14,3
682,-0.21189271098195794,Annabelle 2: A Criação do Mal,-12.0,21,2
961,-0.21177694915303313,Liga da Justiça,-5.0,21,3
254,-0.21174568498017354,Rock Dog - Um Sonho Altamente!,-16.0,28,2
687,-0.21163443445476626,De Braços Abertos,-5.0,28,2
969,-0.20962061473282578,O Espírito da Festa,-1.0,14,3
81,-0.20610967480088715,Silêncio,9.0,14,2
567,-0.20604749975328707,Capitão Cuecas - O Filme,-5.0,49,2
543,-0.2046728017412971,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,-11.0,49,2
477,-0.20380200709447094,O Ilustre Cidadão,-1.0,14,2
685,-0.20369088515413747,Baby Driver - Alta Velocidade,-4.0,28,2
780,-0.2019909019738101,Kingsman: O Círculo Dourado,-10.0,14,2
523,-0.2017509857384483,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,-11.0,42,2
896,-0.2011374197454021,Vitória & Abdul,-8.0,42,2
345,-0.19944294728401502,Ladrões Com Muito Estilo,-18.0,28,3
507,-0.19857159844228423,Churchill,3.0,14,2
980,-0.19772978342771685,Coco,3.0,21,3
522,-0.1971883760656904,A Múmia,-18.0,28,2
359,-0.19482021201845245,Ma Loute,-1.0,14,3
542,-0.1847111215357733,A Múmia,-13.0,35,2
298,-0.18376576281835066,Lego Batman: O Filme,-1.0,56,2
391,-0.1827552470078052,"Amigos Amigos, Telemóveis à Parte",1.0,14,2
246,-0.18244059388109324,São Jorge,3.0,21,2
632,-0.18119675417717096,Capitão Cuecas - O Filme,0.0,70,2
1023,-0.18103018319425557,Coco,-53.0,35,3
812,-0.17906424725860126,Era Uma Vez em Los Angeles,-4.0,14,3
804,-0.17752983270695688,Linha Mortal,-1.0,14,3
496,-0.17569692858023933,"Amigos Amigos, Telemóveis à Parte",0.0,49,3
110,-0.17403172257113775,Aqui Há Gato!,0.0,14,2
949,-0.17380249241066914,Rapto,2.0,14,2
426,-0.16946383971784917,Amarelinho,5.0,14,2
844,-0.16833869303087257,Um Susto de Família,-1.0,14,2
646,-0.16520270083990285,De Braços Abertos,-1.0,14,3
785,-0.16268211658450793,Barry Seal: Traficante Americano,-14.0,35,2
623,-0.16134094955530354,Gru - O Maldisposto 3,-8.0,42,2
356,-0.1607025505585934,Dois é Uma Família,-6.0,28,3
280,-0.15919799708245297,A Bela e o Monstro,2.0,28,2
154,-0.15781007565065697,Lion - A Longa Estrada Para Casa,1.0,77,2
553,-0.1548621527244668,Paterson,-1.0,14,2
128,-0.1541004507935454,Ozzy,9.0,35,3
44,-0.15110334933184522,Manchester by the Sea,1.0,14,2
545,-0.15045022655014917,Overdrive - Os Profissionais,6.0,14,2
479,-0.1481032465427069,Ladrões Com Muito Estilo,0.0,70,2
248,-0.14261836033469433,Malapata,2.0,14,2
240,-0.13656667580913784,A Bela e o Monstro,-19.0,14,2
252,-0.12999713941980928,Lego Batman: O Filme,-6.0,42,2
983,-0.12898710639327815,O Fim da Inocência,1.0,14,3
115,-0.12350858364736905,Lion - A Longa Estrada Para Casa,2.0,63,2
965,-0.12328160284067158,Um Crime no Expresso do Oriente,4.0,28,3
681,-0.12013465074250473,Emoji: O Filme,-5.0,21,2
511,-0.10864685349482683,The Boss Baby,-5.0,77,2
502,-0.10664623070952539,Piratas das Caraíbas: Homens Mortos Não Contam Histórias,-16.0,35,2
616,-0.10591576026225868,Paterson,-2.0,35,2
655,-0.10586067036568347,Adeus Índia,-4.0,42,3
107,-0.10509701030585372,Ozzy,1.0,28,2
971,-0.10363292300596094,O Quadrado,-4.0,14,3
689,-0.09990651202079903,Carros 3,-12.0,42,2
346,-0.09813155826670783,Jacinta,1.0,21,3
169,-0.09595488735709445,Elementos Secretos,-15.0,28,3
540,-0.08231596615126158,Gru - O Maldisposto 3,5.0,14,2
435,-0.07687406296851573,I Am Not Your Negro - Não Sou o Teu Negro,-2.0,14,2
1002,-0.07145222129931517,Coco,12.0,28,2
482,-0.0679990770566552,Capitão Cuecas - O Filme,-9.0,21,3
509,-0.061614962253078276,Amor Acima de Tudo,4.0,14,2
1003,-0.053083192152299175,Paddington 2,-24.0,14,2
807,-0.04631944024232881,Bigfoot Junior,-7.0,35,3
765,-0.040367045405568014,Bigfoot Junior,2.0,21,2
161,-0.03163854340246697,A Grande Muralha,-7.0,14,3
678,-0.02825158866001687,Capitão Cuecas - O Filme,-4.0,84,2
358,-0.011014604776046433,Se Deus Quiser,0.0,21,3
84,-0.004962802519654197,Ozzy,-1.0,21,2
474,0.0029649644949367726,"Amigos Amigos, Telemóveis à Parte",1.0,42,2
803,0.017558122589216962,Lego Ninjago - O Filme,-10.0,14,3
167,0.018554862647216952,Rings,5.0,21,3
515,0.026177153042824752,Bailarina,-2.0,63,2
93,0.05221786554502028,Lion - A Longa Estrada Para Casa,-5.0,56,2
136,0.05818402756842245,Lion - A Longa Estrada Para Casa,-3.0,70,3
384,0.060087002181455906,Bailarina,-1.0,21,2
382,0.060608412762807706,The Boss Baby,-8.0,35,2
514,0.06535095252103917,"Amigos Amigos, Telemóveis à Parte",0.0,56,2
811,0.0664797417738594,Emoji: O Filme,-2.0,63,3
63,0.07621894749145897,Ozzy,8.0,14,2
74,0.08408435562789474,Lion - A Longa Estrada Para Casa,3.0,49,2
259,0.10630161947525085,Vedações,0.0,35,2
960,0.11052367352935377,Coco,-2.0,14,3
503,0.12202075693786285,Capitão Cuecas - O Filme,5.0,28,2
863,0.14288955949037407,Um Susto de Família,21.0,21,3
981,0.1765562556425102,A Estrela de Natal,18.0,14,3
1001,0.1775379950325897,A Estrela de Natal,81.0,21,2
187,0.17968740957637652,Moonlight,10.0,35,2
510,0.19093306905350893,O Rei Macaco,1.0,14,2
325,0.19963939751253879,Jacinta,4.0,14,3
310,0.2086628336944516,"Paula Rego, Histórias & Segredos",-7.0,14,3
281,0.2133381564260841,Smurfs: A Aldeia Perdida,-13.0,14,2
337,0.2433904363660888,Se Deus Quiser,-1.0,14,3
164,0.24810869699911176,La La Land: Melodia de Amor,-1.0,35,3
868,0.2540210407940209,O Pequeno Vampiro,24.0,14,3
250,0.3160999947113823,Aquarius,3.0,14,2
53,0.4375901338814512,Lion - A Longa Estrada Para Casa,-1.0,42,2
171,0.4533471156357587,Ozzy,-13.0,49,3
168,0.47421315960102417,Moonlight,-2.0,28,3
177,0.540948257168482,Lion - A Longa Estrada Para Casa,-1.0,84,3
162,0.5881244173963402,Lego Batman: O Filme,-3.0,14,3
178,0.6523706535678369,Manchester by the Sea,-2.0,56,3
176,1.3484163029286678,Cantar!,2.0,84,3
179,1.4288251725271115,Aqui Há Gato!,-1.0,35,3
882,1.5739488426505628,O Gangue do Parque 2,12.0,8,2
351,2.2202054791547106,O Jovem Karl Max,11.0,14,3
883,4.7374600013689925,Sete Irmãs,6.0,8,2
885,5.16065295944122,Stronger - A Força de Viver,6.0,8,2
1000,11.833687611482858,Star Wars: Episódio VIII - Os Últimos Jedi,120.0,7,2
400,12.301911919300366,Alien: Covenant,76.0,7,2
120,37.7967591354633,As Cinquenta Sombras Mais Negras,99.0,7,3
602,41.866108934307746,Valerian e a Cidade dos Mil Planetas,80.0,7,2
860,81.141045093635,Thor: Ragnarok ,92.0,7,3
